Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-10-08,Mark of the Witch,1970,https://letterboxd.com/malantonio/film/mark-of-the-witch/,3,,"streaming, amazon",2018-10-07
2018-10-09,The Screaming Skull,1958,https://letterboxd.com/malantonio/film/the-screaming-skull/,3,Yes,"streaming, amazon, airplane",2018-10-08
2018-10-14,Asylum,1972,https://letterboxd.com/malantonio/film/asylum/,3,,"streaming, amazon",2018-10-13
2018-10-15,Sleepaway Camp II: Unhappy Campers,1988,https://letterboxd.com/malantonio/film/sleepaway-camp-ii-unhappy-campers/,3,,"streaming, amazon",2018-10-14
2018-10-16,Lisa and the Devil,1973,https://letterboxd.com/malantonio/film/lisa-and-the-devil/,3,,"streaming, kanopy",2018-10-15
2018-10-17,Double Trouble,1992,https://letterboxd.com/malantonio/film/double-trouble-1992/,2.5,,"theater, digital, trash night",2018-10-16
2018-10-18,Sleepaway Camp III: Teenage Wasteland,1989,https://letterboxd.com/malantonio/film/sleepaway-camp-iii-teenage-wasteland/,3,,"streaming, amazon",2018-10-17
2018-10-19,Ænigma,1987,https://letterboxd.com/malantonio/film/nigma/,2,,"streaming, amazon",2018-10-18
2018-10-21,The Marine,2006,https://letterboxd.com/malantonio/film/the-marine/,2,,dvd,2018-10-20
2018-10-22,The Witch Who Came from the Sea,1976,https://letterboxd.com/malantonio/film/the-witch-who-came-from-the-sea/,2.5,,"streaming, amazon",2018-10-21
2018-10-22,Satan,1974,https://letterboxd.com/malantonio/film/satan-1974/,3,,"streaming, amazon",2018-10-21
2018-10-24,The Visit,2015,https://letterboxd.com/malantonio/film/the-visit-2015/,3.5,,"streaming, amazon",2018-10-23
2018-10-25,Night of the Demons,1988,https://letterboxd.com/malantonio/film/night-of-the-demons/,2.5,,"streaming, amazon",2018-10-24
2018-10-27,[REC],2007,https://letterboxd.com/malantonio/film/rec/,4,,"streaming, hulu",2018-10-25
2018-10-27,Paranormal Activity,2007,https://letterboxd.com/malantonio/film/paranormal-activity/,3,Yes,"streaming, amazon",2018-10-25
2018-10-27,She Demons,1958,https://letterboxd.com/malantonio/film/she-demons/,2,,"streaming, amazon prime",2018-10-26
2018-10-28,The War of the Worlds,1953,https://letterboxd.com/malantonio/film/the-war-of-the-worlds/,3,,"coolidge corner, 35mm",2018-10-28
2018-10-28,Alien,1979,https://letterboxd.com/malantonio/film/alien/1/,4.5,Yes,"35mm, coolidge corner",2018-10-28
2018-10-28,The Blob,1988,https://letterboxd.com/malantonio/film/the-blob-1988/,3.5,,"35mm, colonial theatre",2018-10-28
2018-10-29,Without Warning,1980,https://letterboxd.com/malantonio/film/without-warning-1980/1/,3.5,Yes,"35mm, coolidge corner",2018-10-28
2018-10-29,Killer Klowns from Outer Space,1988,https://letterboxd.com/malantonio/film/killer-klowns-from-outer-space/,3,,"35mm, coolidge corner",2018-10-28
2018-10-29,The Deadly Spawn,1983,https://letterboxd.com/malantonio/film/the-deadly-spawn/,3,,"35mm, coolidge corner",2018-10-28
2018-10-29,Village of the Damned,1995,https://letterboxd.com/malantonio/film/village-of-the-damned-1995/,3,,"35mm, coolidge corner",2018-10-28
2018-10-30,Halloween,2018,https://letterboxd.com/malantonio/film/halloween-2018/,3.5,,"digital, theater",2018-10-29
2018-10-31,Body Melt,1993,https://letterboxd.com/malantonio/film/body-melt/,2.5,,"streaming, amazon prime",2018-10-30
2018-10-31,Jennifer's Body,2009,https://letterboxd.com/malantonio/film/jennifers-body/,2,,"streaming, hbo",2018-10-30
2018-11-01,The Wicker Man,1973,https://letterboxd.com/malantonio/film/the-wicker-man/,4.5,,download,2018-10-31
