Date,Name,Year,Letterboxd URI,Rating
2017-06-03,Possibly in Michigan,1983,https://letterboxd.com/film/possibly-in-michigan/,4
2017-06-03,Annie Lloyd,2008,https://letterboxd.com/film/annie-lloyd/,4
2017-06-03,Pulling Up Roots,2015,https://letterboxd.com/film/pulling-up-roots/,3.5
2017-06-03,Some Dark Place,2016,https://letterboxd.com/film/some-dark-place/,3.5
2017-06-03,Pet Sematary,1989,https://letterboxd.com/film/pet-sematary/,3
2017-06-04,A Clockwork Orange,1971,https://letterboxd.com/film/a-clockwork-orange/,4
2017-06-04,Deathgasm,2015,https://letterboxd.com/film/deathgasm/,4
2017-06-05,Cliffhanger,1993,https://letterboxd.com/film/cliffhanger/,3
2017-06-06,Dumb: The Story of Big Brother Magazine,2017,https://letterboxd.com/film/dumb-the-story-of-big-brother-magazine/,3.5
2017-06-07,The Void,2016,https://letterboxd.com/film/the-void-2016/,3.5
2017-06-08,Escape from New York,1981,https://letterboxd.com/film/escape-from-new-york/,3.5
2017-06-09,Christine,2016,https://letterboxd.com/film/christine-2016/,4
2017-06-13,They Look Like People,2015,https://letterboxd.com/film/they-look-like-people/,3.5
2017-06-24,Night of the Lepus,1972,https://letterboxd.com/film/night-of-the-lepus/,3.5
2017-06-25,Carnival of Souls,1962,https://letterboxd.com/film/carnival-of-souls/,3.5
2017-06-25,Squirm,1976,https://letterboxd.com/film/squirm/,3
2017-06-26,Don't Think Twice,2016,https://letterboxd.com/film/dont-think-twice/,4
2017-06-26,Oklahoma City,2017,https://letterboxd.com/film/oklahoma-city/,3
2017-07-01,The Purge,2013,https://letterboxd.com/film/the-purge/,2
2017-07-01,Speed,1994,https://letterboxd.com/film/speed/,3.5
2017-07-05,Dawn of the Planet of the Apes,2014,https://letterboxd.com/film/dawn-of-the-planet-of-the-apes/,3
2017-07-08,Video Violence,1987,https://letterboxd.com/film/video-violence/,3.5
2017-07-08,Video Violence 2,1987,https://letterboxd.com/film/video-violence-2/,3.5
2017-07-08,Cannibal Campout,1988,https://letterboxd.com/film/cannibal-campout/,3
2017-07-09,Nobody Speak: Trials of the Free Press,2017,https://letterboxd.com/film/nobody-speak-trials-of-the-free-press/,3
2017-07-09,Slime City,1988,https://letterboxd.com/film/slime-city/,3.5
2017-07-09,The Abomination,1986,https://letterboxd.com/film/the-abomination/,2.5
2017-07-09,Faces of Death,1978,https://letterboxd.com/film/faces-of-death/,3
2017-07-10,Get Me Roger Stone,2017,https://letterboxd.com/film/get-me-roger-stone/,3
2017-07-14,Invaders from Mars,1986,https://letterboxd.com/film/invaders-from-mars-1986/,3
2017-07-16,The Big Sick,2017,https://letterboxd.com/film/the-big-sick/,4
2017-07-17,Treasure of the Four Crowns,1983,https://letterboxd.com/film/treasure-of-the-four-crowns/,4
2017-07-17,Dogs of Hell,1982,https://letterboxd.com/film/dogs-of-hell/,2.5
2017-07-17,Hit the Road Running,1983,https://letterboxd.com/film/hit-the-road-running/,3.5
